from	to	cluster
SNAP91	LMTK2	cluster2
SNAP91	LRRTM1	cluster2
SNAP91	BSN	cluster2
SNAP91	MPP6	cluster2
RNF11	SNAP91	cluster2
MEX3B	SNAP91	cluster2
SNAP91	GNAO1	cluster2
SNAP91	TAGLN3	cluster2
SNAP91	STXBP1	cluster2
SNAP91	VDAC3	cluster2
SNAP91	KLC1	cluster2
SNAP91	SLC25A4	cluster2
SNAP91	KCNJ12	cluster2
SNAP91	MAP1B	cluster2
SNAP91	ATP1A3	cluster2
SNAP91	AP3B2	cluster2
SNAP91	NTRK2	cluster2
FSD1	GRIK2	cluster2
FSD1	DYNC1H1	cluster2
CCNF	FSD1	cluster2
FSD1	SCN1A	cluster2
FSD1	GNB5	cluster2
FSD1	PDE10A	cluster2
FSD1	YWHAG	cluster2
FSD1	KIFAP3	cluster2
FSD1	GRIN1	cluster2
FSD1	PTPRD	cluster2
FSD1	VAMP2	cluster2
FSD1	MAP1A	cluster2
FSD1	CRMP1	cluster2
FSD1	SPTBN4	cluster2
FSD1	FABP3	cluster2
FSD1	SORBS2	cluster2
FSD1	ATP6V1G2	cluster2
FSD1	LMTK2	cluster2
FSD1	LRRTM1	cluster2
FSD1	GNAI1	cluster2
FSD1	MPP6	cluster2
RNF11	FSD1	cluster2
MEX3B	FSD1	cluster2
FSD1	GNAO1	cluster2
FSD1	STXBP1	cluster2
FSD1	VDAC3	cluster2
FSD1	SLC25A4	cluster2
FSD1	MAP1B	cluster2
FSD1	ATP1A3	cluster2
FSD1	AP3B2	cluster2
FSD1	NTRK2	cluster2
GRIK2	PCLO	cluster2
CCNF	GRIK2	cluster2
GRIK2	SCN1A	cluster2
GRIK2	GNB5	cluster2
GRIK2	PDE10A	cluster2
GRIK2	KIFAP3	cluster2
GRIK2	GRIN1	cluster2
GRIK2	PTPRD	cluster2
GRIK2	CRMP1	cluster2
GRIK2	SPTBN4	cluster2
GRIK2	FABP3	cluster2
GRIK2	SORBS2	cluster2
