from	to	type
GRPEL1	ANXA11	chap_syn
GRPEL1	BIN1	chap_syn
GRPEL1	COG3	chap_syn
GRPEL1	DPYSL5	chap_syn
GRPEL1	GNA11	chap_syn
GRPEL1	LMNB1	chap_syn
GRPEL1	LYN	chap_syn
GRPEL1	NSFL1C	chap_syn
GRPEL1	RPN1	chap_syn
GRPEL1	SCFD1	chap_syn
GRPEL1	TLN2	chap_syn
GRPEL1	VPS16	chap_syn
GRPEL2	ABLIM1	chap_syn
GRPEL2	AP1G1	chap_syn
GRPEL2	COX6B1	chap_syn
GRPEL2	GNAZ	chap_syn
GRPEL2	PADI2	chap_syn
GRPEL2	RPS16	chap_syn
GRPEL2	SCRN1	chap_syn
GRPEL2	SOD1	chap_syn
GRPEL2	STK38L	chap_syn
GTF3C3	ACTN3	chap_syn
GTF3C3	APOD	chap_syn
GTF3C3	FYN	chap_syn
GTF3C3	RHOA	chap_syn
GTF3C3	SLC12A5	chap_syn
HSP90AB1	DAAM2	chap_syn
HSP90AB1	EPS15L1	chap_syn
HSP90B1	BTBD17	chap_syn
HSP90B1	IMPA1	chap_syn
HSP90B1	PLA2G4A	chap_syn
HSP90B1	PSD	chap_syn
HSP90B1	ST14	chap_syn
HSP90B1	SYNJ1	chap_syn
HSP90B1	SYT3	chap_syn
HSPA12B	ACAA1	chap_syn
HSPA12B	AGAP1	chap_syn
HSPA12B	AP3B1	chap_syn
HSPA12B	DYNC1I2	chap_syn
HSPA12B	GPRASP2	chap_syn
HSPA12B	MTCH1	chap_syn
HSPA12B	MTHFD1L	chap_syn
HSPA12B	VAPB	chap_syn
HSPA1L	FSD1	chap_syn
HSPA1L	RAB1A	chap_syn
HSPA1L	SHANK1	chap_syn
HSPA4	KIAA0408	chap_syn
HSPA8	AHCY	chap_syn
HSPA8	ALDOC	chap_syn
HSPA8	ATIC	chap_syn
HSPA8	CPT2	chap_syn
HSPA8	DLG2	chap_syn
HSPA8	EEF1B2	chap_syn
HSPA8	EIF3C	chap_syn
HSPA8	GNAZ	chap_syn
HSPA8	PICK1	chap_syn
HSPA8	SEC13	chap_syn
HSPB1	DBNL	chap_syn
HSPB1	MCCC2	chap_syn
HSPB1	MFF	chap_syn
HSPB1	MPP7	chap_syn
HSPB1	PFN1	chap_syn
HSPB1	PTPN11	chap_syn
HSPB1	SNRPA1	chap_syn
HSPB1	SOD1	chap_syn
HSPB1	SRI	chap_syn
HSPB1	SYNE1	chap_syn
HSPB2	FARSA	chap_syn
HSPB2	RTN3	chap_syn
HSPB2	SLC30A3	chap_syn
HSPB2	SNX3	chap_syn
HSPB7	ANKRD24	chap_syn
HSPB7	ATP6V0A1	chap_syn
HSPB7	CRYM	chap_syn
HSPB7	FYN	chap_syn
HSPB7	HCK	chap_syn
HSPB7	NDUFA12	chap_syn
HSPB7	OLA1	chap_syn
HSPB7	PDLIM7	chap_syn
HSPB7	RPL4	chap_syn
HSPB7	SNX6	chap_syn
HSPB7	STX16	chap_syn
HSPB7	UQCRC1	chap_syn
HSPBP1	ADRBK1	chap_syn
HSPBP1	CHCHD6	chap_syn
HSPBP1	COX6B1	chap_syn
HSPBP1	EEF1B2	chap_syn
HSPBP1	MTHFD1	chap_syn
HSPBP1	SEC13	chap_syn
HYOU1	APPL2	chap_syn
HYOU1	DLG1	chap_syn
HYOU1	DYNLRB2	chap_syn
HYOU1	IDH3G	chap_syn
HYOU1	LY6H	chap_syn
HYOU1	SLC4A4	chap_syn
HYOU1	SSR1	chap_syn
IFIT1	ZNF451	chap_syn
IFIT2	ATP6V0D2	chap_syn
IFIT2	ATP6V1B2	chap_syn
IFIT2	CCDC93	chap_syn
IFIT2	CD81	chap_syn
IFIT2	FSCN1	chap_syn
IFIT2	GABARAPL2	chap_syn
IFIT2	GNB2	chap_syn
IFIT2	GPRIN1	chap_syn
IFIT2	ICA1	chap_syn
IFIT2	MPP2	chap_syn
IFIT2	RAB13	chap_syn
IFIT2	RAC1	chap_syn
IFIT2	RPL18A	chap_syn
IFIT2	S100A4	chap_syn
IFIT2	SNAP25	chap_syn
IFIT2	STX1B	chap_syn
IFIT3	COX5B	chap_syn
IFIT3	MAP6	chap_syn
IFIT3	PAPLN	chap_syn
IFIT3	PRKAG3	chap_syn
IFIT3	VGF	chap_syn
IFT88	CCDC93	chap_syn
IFT88	GAP43	chap_syn
IFT88	HCK	chap_syn
KLC1	ACTA2	chap_syn
KLC1	SYN3	chap_syn
KLC3	CCNY	chap_syn
KLC3	DIP2B	chap_syn
KLC3	FMNL1	chap_syn
KLC3	MYO1C	chap_syn
KLC3	TRIO	chap_syn
KLC4	CDH2	chap_syn
KLC4	SPINK5	chap_syn
KLC4	SRPRB	chap_syn
LONRF1	COG3	chap_syn
LONRF1	IRS1	chap_syn
LONRF1	PDCD6IP	chap_syn
LONRF1	SNAP25	chap_syn
LONRF1	TUBB2B	chap_syn
MKKS	COX5A	chap_syn
MKKS	PPP1CB	chap_syn
MKKS	WDR37	chap_syn
NASP	AMPH	chap_syn
NASP	ATP2B1	chap_syn
NASP	MCCC2	chap_syn
NASP	MFF	chap_syn
NASP	PPFIA3	chap_syn
NASP	PRDX6	chap_syn
NASP	SRI	chap_syn
NLN	ACTA1	chap_syn
NLN	AGAP2	chap_syn
NLN	ATP6V0D2	chap_syn
NLN	CAND2	chap_syn
NLN	CRAT	chap_syn
NLN	FABP5	chap_syn
NLN	OSCP1	chap_syn
NLN	PEA15	chap_syn
NLN	RPL12	chap_syn
NLN	RPL30	chap_syn
NLN	RPS4X	chap_syn
NLN	SNX5	chap_syn
NLN	SNX6	chap_syn
NLN	SYNPO	chap_syn
NLN	TCP11L1	chap_syn
NUDC	ABCB8	chap_syn
NUDC	ALDH16A1	chap_syn
NUDC	ARHGAP23	chap_syn
NUDC	ARHGEF7	chap_syn
NUDC	CAND2	chap_syn
NUDC	CRAT	chap_syn
NUDC	CSE1L	chap_syn
NUDC	DBNL	chap_syn
NUDC	FABP5	chap_syn
NUDC	GABARAPL2	chap_syn
NUDC	GRIA4	chap_syn
NUDC	KCNA2	chap_syn
NUDC	NCKIPSD	chap_syn
NUDC	OSCP1	chap_syn
NUDC	PDHA1	chap_syn
NUDC	PFKP	chap_syn
NUDC	RAB37	chap_syn
NUDC	RAB6A	chap_syn
NUDC	RPLP1	chap_syn
NUDC	SLC4A4	chap_syn
NUDC	SLC6A17	chap_syn
NUDC	SNCAIP	chap_syn
P4HA1	ATP6V0A1	chap_syn
P4HA1	CAD	chap_syn
P4HA1	CAP1	chap_syn
P4HA1	CHCHD3	chap_syn
P4HA1	HK1	chap_syn
P4HA1	MAPRE3	chap_syn
P4HA1	PPFIA2	chap_syn
P4HA1	RPS25	chap_syn
P4HA1	SDCBP	chap_syn
P4HA1	USP15	chap_syn
P4HA1	WNK1	chap_syn
P4HA1	YWHAB	chap_syn
P4HA2	ARHGAP21	chap_syn
P4HA2	ELMO2	chap_syn
P4HA2	ITFG1	chap_syn
P4HA2	SNX3	chap_syn
P4HA3	AGAP2	chap_syn
P4HA3	AKT1	chap_syn
P4HA3	ANXA6	chap_syn
P4HA3	ATP6V1D	chap_syn
P4HA3	ATP8A2	chap_syn
P4HA3	GLUD1	chap_syn
P4HA3	GRIP1	chap_syn
P4HA3	HADHA	chap_syn
P4HA3	MPP6	chap_syn
P4HA3	MYL4	chap_syn
P4HA3	PCBP2	chap_syn
P4HA3	PDLIM7	chap_syn
P4HA3	PLXNA4	chap_syn
P4HA3	PRMT5	chap_syn
P4HA3	PTPN5	chap_syn
P4HA3	SERPINA3	chap_syn
P4HA3	SNRPA1	chap_syn
P4HA3	STX1B	chap_syn
P4HA3	TSC22D4	chap_syn
P4HA3	VDAC2	chap_syn
PDCD11	AHNAK	chap_syn
PDCD11	AP3B1	chap_syn
PDCD11	CFL1	chap_syn
PDCD11	CKAP5	chap_syn
PDCD11	FARSB	chap_syn
PDCD11	GAD1	chap_syn
PDCD11	GPRASP2	chap_syn
PDCD11	IMPA1	chap_syn
PDCD11	OLFM2	chap_syn
PDCD11	PEA15	chap_syn
PDCD11	PSMC1	chap_syn
PDCD11	SMC3	chap_syn
PDCD11	SPATA2L	chap_syn
PDCD11	VAPB	chap_syn
PDIA2	ACTR2	chap_syn
PDIA2	CLASP1	chap_syn
PDIA2	CSNK1E	chap_syn
PDIA2	CYP1B1	chap_syn
PDIA2	EHD4	chap_syn
PDIA2	RAB11B	chap_syn
PDIA2	RAB3A	chap_syn
PDIA2	SYP	chap_syn
PDIA3	AP3B1	chap_syn
