	LGd	Chrna2	LP	LGv	Chrna3	Chrna1
Evi5	112.03278338278928	40.22801060606061	107.27679315789466	148.88098000000002	63.25982857142857	48.10333904761905
Lrrd1	6.952851152073733	8.24309142857143	4.46695357142857	1.7261	15.149999999999999	6.274466666666668
Ap5b1	11.709532530120475	17.445668749999996	19.37755833333333	0.0	20.571525	28.8685
Tmem63c	22.51212958843161	21.67182456140351	27.971107096774187	41.18983333333334	43.60403333333333	18.21084230769231
Npas4	11.256560112359555	14.406290540540533	18.434240740740744	28.905450000000002	18.68867777777778	18.134079310344823
Fam193b	36.17283247269112	44.21377398373981	35.49058260869565	23.501657142857145	48.030220408163274	48.31728561151079
Itgb5	5.500585365853659	10.7571	18.689054545454546	0.5521	0.0	0.0
Zbtb17	26.251242477876158	39.08447703703704	30.080154545454548	34.1058	33.87368275862069	39.692449350649355
Sema4c	4.544600512820512	8.41509117647059	10.32914827586207	1.4029399999999999	5.5237375	4.656492857142857
Tnni3k	2.4135500000000003	28.1558	33.3845	0.0	0.0	0.0
Pi4kb	14.800425675675665	19.92566899224806	23.793724545454552	88.50635	44.003396	30.567648571428567
L3mbtl3	25.398446546961324	27.522617123287677	32.58035782312926	31.343441666666664	47.17289090909091	36.42079117647058
Epc2	28.3989354657688	29.90663675675678	25.362345925925926	29.623154545454543	21.012309090909092	34.79636956521739
Dnajc10	84.87410384226489	162.70522367346936	95.86005109890111	98.59052307692309	122.23661739130436	171.1544052238806
Slc4a11	11.433236363636363	5.0085	0.0	0.0	0.0	20.667333333333332
Arhgap26	37.63355259740261	70.93953775933609	42.13167916666666	136.21340666666666	77.96858200000001	91.25181197183093
Vil1	13.994485507246383	7.7314	17.42219393939394	1.64605	0.0	0.9256333333333333
Prss36	19.699823889739644	27.853153571428575	19.143016513761467	24.993850000000005	33.390868	23.505443137254904
Ciz1	33.45516860592755	46.57797688172044	35.501746575342445	58.21624	35.599665625	52.81591634615384
Nlrp2	0.0	0.5089	0.0	0.0	2.5473	0.7031
Kank2	6.391229999999998	14.333446153846152	2.26655	0.0	30.345100000000002	9.30913
Incenp	19.552664361702135	33.17912470588236	22.945755208333328	45.79625454545455	31.56023181818182	40.95449782608696
Brd2	45.415148296593145	58.75373406113539	41.96794404761904	62.74166	54.656637500000016	62.52994452554741
Fancb	17.389606086956523	20.666093333333336	24.383491428571432	26.941333333333333	29.778233333333333	49.22703750000001
Secisbp2	20.077664613526565	35.05580425531914	19.018706521739126	25.421209090909084	26.648148571428578	32.56557105263158
Csde1	216.93179515810283	243.34431706349213	243.53183782383408	245.36008	268.6267629629629	230.5188527397261
Map4k2	43.22122397905758	42.1720027777778	41.41833757575758	52.8963	82.92840789473685	56.643165686274536
Rnf10	36.053363527054074	36.56821983471074	47.74367301587302	61.65310666666666	92.2156901960784	32.33443617021276
Mark2	21.02293707165111	19.1666779342723	24.76143389830509	48.25447333333333	20.01455652173913	21.254181249999995
Postn	0.6905	18.197233333333333	0.0	0.0	19.3508	0.0
Ppfibp2	13.600779999999999	24.797795238095237	21.5142	15.942516666666668	38.072520000000004	15.5286
Ddx24	291.090431126482	353.2508861111112	277.43557720207247	252.71732	303.41199814814814	402.90647534246557
Veph1	7.426177777777777	0.8303142857142857	1.47435	0.0	1.2078	0.3588
Poln	4.023164864864862	2.5391250000000003	5.7110025641025635	1.1168666666666667	0.9551333333333334	1.0194999999999999
Arhgef15	27.41302944444445	66.25436789473684	29.41889090909091	0.0	74.39503636363635	67.06953166666665
Ppp1r9b	22.46055368098156	18.476484745762704	19.52442258064516	24.74170909090909	17.446202777777778	19.462378000000005
Ercc3	25.290002269503553	40.81947058823531	29.21556347826086	16.95935	34.960413043478255	40.35314444444444
Clca1	0.0	43.46643999999999	0.0	0.0	29.7198	0.0
Strn3	156.7833884387352	91.100867768595	145.09016217616582	112.09289333333335	139.93172830188678	95.47099928571426
Cdh11	56.18570233029384	10.45181296296297	58.43274161849715	75.57021428571429	12.720819047619049	13.348926086956517
Snx29	38.673848851269646	46.66704022346369	53.910462576687124	28.62611111111111	46.00754838709677	50.24337710843374
Qrich1	79.86549375000013	87.54507148760334	91.36415159574473	103.30337692307693	101.39923333333333	99.13662536231875
Ttk	8.209141666666666	0.6163	22.2317	0.0	0.0	10.950733333333332
Stat3	23.144525920873118	48.80348139534885	36.444119871794854	39.42218888888889	47.5118606060606	43.75794130434783
Rrm1	32.710509139784925	67.44006615384615	36.13599166666665	32.391000000000005	60.86632399999999	74.44076470588237
Adam23	110.16578784584992	28.3109563063063	92.21033212435235	98.40127333333335	22.002574999999997	29.543517600000005
Atxn1	107.38369149357065	67.49603159999998	90.96460211640209	61.41310666666667	44.432854	57.708480882352944
Itgb6	13.378775000000001	0.9667	3.1719	0.0	0.0	0.0
Brinp1	303.49263646245066	145.0718325791856	267.83867343750006	323.58294000000006	242.6926354166666	339.83091517241377
Esco1	62.55737062566276	71.47590976744179	52.27097167630057	74.62492142857143	84.24111944444444	76.02488660714286
Cpsf2	54.12235640495873	82.92190917431195	50.88806529411765	74.5032857142857	87.47683999999998	102.82802748091602
Ctnnb1	481.3463203557312	277.9515166666665	449.6174687500002	119.60648666666665	350.8506942307692	345.30318206896544
Msh5	5.984186666666667	19.0713	4.79444	0.0	0.0	0.0
Hcfc2	37.65969962962965	58.01926304347828	42.3066964028777	95.35627692307692	64.03409032258067	73.03975566037737
Zfyve1	11.478504439252335	19.827481286549705	15.42573862068965	10.809755555555556	17.155793548387102	20.914152688172045
Mysm1	76.5722420841684	78.4725835341366	67.15814578947369	67.40527333333333	60.62412653061225	92.03779640287776
Cdh6	68.21493082549635	116.55973137254904	76.54126434782611	140.96793636363637	76.60316086956522	55.75366896551723
Tut1	28.256232100238694	30.840944444444446	29.382364	37.302083333333336	33.82914594594595	39.236713541666674
Fcho1	48.7704956300813	46.685095811518316	52.98752768361584	88.00509333333335	64.35033953488373	72.86366960000001
Tgm1	5.592638888888888	23.1549	12.484	0.0	0.0	7.526624999999999
Prrt4	5.245732258064517	5.9270272727272735	12.395900000000001	0.0	8.72885	4.274660000000001
Vwa7	1.4517384615384614	0.50275	0.6730666666666667	0.0	1.592	25.682100000000002
Map7d1	98.71674881422933	36.74966753246753	90.85737305699483	88.41622	60.75270192307691	32.2705503875969
Mark1	28.872391028708133	42.047133333333335	30.43719510489511	86.35826153846155	62.39272083333333	52.90979919354842
Bicd2	39.880291915836175	34.955985294117625	36.197065562913906	32.3042375	30.288503333333335	45.126820270270265
Odf2	50.24275060483877	59.56097768240341	42.70395393258426	31.015790000000003	42.53644222222223	71.34261603053436
Tmem63a	8.438696000000002	0.6982	12.470712499999998	0.0	0.0	1.3545
Nlrp6	16.43487142857143	22.714	0.0	0.0	0.0	0.0
Tnfaip3	13.824155833333332	20.6854375	15.77835	2.8318	30.52435	25.742555555555555
Ahr	18.932047058823528	22.901904000000005	17.537320754716983	51.599183333333336	11.604700000000001	6.0311
Cdh12	132.73479523336653	118.98476288209604	110.13156404494381	193.21273999999997	74.23297	48.43461789473682
Trpv1	0.479	0.0	0.0	0.0	0.4814	0.0
Cdh20	12.013695283018867	21.776560869565216	21.071485217391302	20.879166666666666	19.4375	26.630442857142857
Furin	9.869309633649936	12.237179104477617	11.962722680412373	22.141755555555555	17.946546875	15.129173469387757
Sema3e	30.097340377358496	92.15611724137929	45.94598965517242	1.2196	3.7983499999999997	0.64455
Jakmip3	13.239029820051398	25.30045487804878	12.954723636363635	20.48613333333333	14.387236363636363	22.32207142857143
Plaa	57.4174252040817	63.05991042654024	77.63020982658959	65.20434166666666	67.24795476190475	82.3218897637795
Brsk1	6.073768550368549	3.9792608	5.68828387096774	1.3384666666666665	3.058086956521739	5.659283333333334
Gpatch1	38.60775010570822	54.06077199999998	33.62131750000001	29.173100000000005	53.6634	51.512430357142854
Csf1r	3.70175	2.381016666666667	0.0	0.0	0.7053499999999999	1.1665333333333334
Sema4b	4.470894940476192	6.2442350877193	5.022743999999998	3.7462666666666666	6.325506666666667	6.834397802197803
Ankmy1	11.548310112359554	22.80218958333334	9.935224074074076	13.130233333333331	13.135366666666668	30.609325000000002
Champ1	33.604556711003625	61.278795348837235	38.44181582733812	37.40705	81.64512307692308	71.67607200000003
Csrp2bp	27.811570652173906	32.25297248322148	28.295967692307684	54.287615384615385	41.37684	38.088328813559315
Ralgds	14.6972366812227	22.154496610169492	26.729939639639642	49.663711111111105	37.59517352941176	37.33538333333332
Cdh10	56.43833981385731	53.62345393258424	43.98375090909091	84.69863076923077	43.66741428571429	38.29931964285713
Thsd1	12.280350000000002	23.34242941176471	102.5437	107.3213	0.0	15.29376
Irf2bpl	23.9640775339603	27.879893577981644	24.586020253164552	36.72745714285714	41.75263863636364	26.25035338983051
Slc6a5	16.125280952380955	0.0	16.37	0.0	0.0	0.0
Cul1	176.22072124505928	201.8458928	179.7987829015544	153.57634666666667	205.72705185185185	216.87084109589037
Prom1	0.6258666666666667	0.0	0.0	0.0	0.0	0.0
Lpin3	3.33155	0.0	0.0	0.0	0.0	0.0
Clcn7	38.66577657458563	70.45936305418716	39.90332753623187	20.993188888888888	66.05505277777777	89.94310508474577
Zfp473	3.968664137931035	2.320902173913044	8.255468	0.7796	3.2589333333333332	6.543257142857143
Usp29	53.694038316831694	120.1281940476191	78.18547643979058	17.014614285714284	107.97237777777781	141.26603611111102
Il17ra	3.7086	11.959966666666666	7.4132	26.9021	13.3564	3.23015
Stat6	29.663903294892926	56.40938000000001	24.852494117647066	74.04356	0.0	0.5609
