	P	GABA1	Pulv	K2	GABA4	GABA3
SZT2	200.98363568376084	132.32532631578948	214.57626213592232	133.04127758620692	293.73789090909094	166.6204261744967
CMYA5	183.8824222891566	5.6679	264.3231624999999	136.40078823529413	480.80398888888885	358.0223958333333
UTRN	169.99320257352932	228.33562307692304	150.93899285714286	192.5163617021277	13.6573	212.35176
UNC80	2055.9572723200017	1069.2181716981136	1022.25928700361	951.62715890411	692.6861769230769	748.328112121212
ASPM	113.89859827586207	317.19863333333336	96.6000611111111	105.87630000000001	16.358	146.74712499999998
CELSR3	149.6758897750511	200.55949142857142	133.21924869109947	152.29338030303032	225.1954117647059	164.5544494382022
CDH23	52.92964166666666	4.3526	26.320870000000003	13.77385	0.0	53.14803333333333
MUC5B	5.0219	0.0	4.639	0.0	16.358	64.4676
SPTBN5	30.52697532467532	342.6062	23.453178571428573	14.64348333333333	249.24603333333332	35.03167555555555
LAMA3	81.46327307692307	249.07894399999998	70.95576034482758	152.73801428571429	131.49773999999996	125.21399629629633
TRIO	149.33887101449284	219.32824186046508	182.39968045977014	110.12325000000001	75.71497142857145	149.69090515463918
SRCAP	0.0	0.0	0.0	0.0	0.0	0.0
XIRP2	97.029	0.0	55.814325	0.0	0.0	28.004
FBN2	29.755874999999996	89.02017142857143	30.54395	44.620875	221.26678	69.54078333333332
RANBP2	0.0	0.0	0.0	0.0	0.0	0.0
LAMA2	39.536874999999995	0.0	0.0	9.4784	10.9337	12.1368
DCHS1	168.38655357142844	197.94437272727274	134.10740700934576	147.1858661016949	110.32371052631579	153.75821299999998
FREM2	8.1488	6.7119	4.715	48.04778	4.4279	5.1165666666666665
REV3L	487.30782759197325	745.8635799999998	390.01453716475095	324.2610257142857	986.9460999999999	964.0760582706772
VPS13A	323.7248086882456	293.20388333333335	332.3622518796995	308.28301470588235	322.41769565217396	359.5825122362868
VCAN	85.93355000000001	150.19113636363636	115.14818333333334	46.161350000000006	0.0	144.340925
DMXL2	315.48290000000026	337.59301276595755	319.07338976377923	348.2995000000001	320.4475857142857	294.9678938596492
CHD7	339.96682928082157	233.11335	251.44170124999988	227.35043015873012	69.6389	96.49321249999998
FBN1	146.1663675925926	186.6086846153846	159.65637861271685	130.6245044444444	335.53333333333336	215.95970061728394
FRY	268.84968237288115	199.59104499999998	184.912147008547	217.82807183098595	398.61785000000003	226.35323124999982
COL12A1	184.52111291139238	232.7225	138.18183600000006	198.1442068965518	131.30374444444445	128.5902916666667
KALRN	179.3340748633881	310.03766086956523	436.00520476190485	395.521689041096	97.00835000000001	75.78277222222222
GOLGB1	663.9858010101009	698.1982804347825	632.0066893939393	672.7992211267606	518.1647583333332	514.9770673553718
FRYL	210.92568524271834	313.482075609756	217.13661416666673	241.24626818181824	129.38491333333334	195.95259488636356
NBEA	556.273784665579	498.24494222222233	512.9586546125465	536.8726506849315	572.2617000000001	472.2809819327732
WDFY4	0.0	0.0	0.0	35.0883	16.358	5.4218
COL6A3	58.83604444444445	0.0	170.1772	0.0	34.1266	74.42787666666665
HTT	160.53135928853746	228.9269125	184.08645461847405	178.6559970149253	172.50265000000005	180.76071346153842
ATM	194.09385732600722	233.60370857142857	203.22006812749018	198.51394571428577	223.05448888888887	223.91104094827585
DMXL1	228.98639788359822	221.38868500000004	222.6260056390977	223.24637794117658	274.13370476190477	224.98585128205104
CEP350	457.9468657237937	347.8530444444443	450.05378674242434	367.00874507042255	406.28289499999994	428.6015302521012
ASH1L	459.6785086885239	609.5521847826088	619.9118313653137	565.4767068493152	852.7646454545454	620.5703455598454
EP400	161.53429880239514	185.18854615384612	176.11814918032786	172.12861475409835	244.14434285714282	192.11846865671663
MGA	248.95688914893628	227.9372966666666	194.86152371134014	168.0250603448276	158.2212625	240.96697705882337
SPEG	48.53350833333334	396.0931600000001	178.00904736842105	237.815295652174	497.41008260869563	451.345162109375
BPTF	479.9467960132887	520.4970083333333	551.5922845018451	437.88532054794524	705.2705238095238	517.8946824902724
CHD9	0.0	0.0	0.0	0.0	0.0	0.0
BRCA2	63.53122631578947	36.77723999999999	98.68114545454546	181.43933333333334	219.70842000000002	82.60650882352944
CELSR2	113.8798686354379	161.22354999999993	146.147071875	119.93175846153848	218.22735454545455	133.2083879069768
NF1	125.00166949891074	175.26065675675673	135.47160295358643	125.4663140625	211.05460714285715	132.39332556818184
TRANK1	449.2962814144738	167.70243076923074	322.10597251908376	292.22111857142863	496.5017000000001	478.3616035714285
