uniprot	unigene	gene	index	order
J3QNR8_MOUSE	Trim34b	Trim34b	43326	0
A0A1W2P6H7_MOUSE	Gm32687	Gm32687	16590	0
Q5SW46_MOUSE	Lpo	Lpo	31709	0
A0A0U1RNG7_MOUSE	Kctd14	Kctd14	25539	0
A0A075B5M3_MOUSE	Igkv4-58	Igkv4-58	24926	0
F6YK91_MOUSE	Ankrd65	Ankrd65	2984	0
A0A0G2JFV0_MOUSE	Traj29	Traj29	43015	0
A0A0B4J1N7_MOUSE	Trav14-2	Trav14-2	43109	0
B1AVU6_MOUSE	Gm436	Gm436	20087	1
B1ARH2_MOUSE	Zfp735	Zfp735	45495	0
A2AW65_MOUSE	C330013J21Rik	C330013J21Rik	4243	1
D3YYZ0_MOUSE	Cyp3a57	Cyp3a57	6189	0
D3YV11_MOUSE	Gm5475	Gm5475	20729	0
M9MMK4_MOUSE	Olfr224	Olfr224	35779	1
E9PW61_MOUSE	Vmn2r50	Vmn2r50	44668	0
L7N245_MOUSE	Sult2a4	Sult2a4	41738	0
E9PX68_MOUSE	Slc4a1ap	Slc4a1ap	40715	0
D3Z445_MOUSE	Zfp707	Zfp707	45486	0
A0A0J9YVH3_MOUSE	AU041133	AU041133	2214	0
D3YXF5_MOUSE	C7	C7	4273	0
E9QA79_MOUSE	Mup7	Mup7	34169	0
A0A075B5J0_MOUSE	Trbv26	Trbv26	43246	0
A0A5F8MQ13_MOUSE	Tmem178b	Tmem178b	42588	0
G3UXG0_MOUSE	Esp34	Esp34	7614	0
E9Q6K3_MOUSE	Pibf1	Pibf1	37289	0
A0A075B6A7_MOUSE	Ighv2-6	Ighv2-6	24747	0
K7N6V0_MOUSE	Gm3476	Gm3476	18221	0
E9PXM9_MOUSE	Fbxw24	Fbxw24	8135	0
B1ARV3_MOUSE	Lao1	Lao1	31431	0
Q5NC45_MOUSE	Olfr332	Olfr332	35872	0
B1AQA8_MOUSE	Krtap4-8	Krtap4-8	25916	0
A0A571BD42_MOUSE	Arhgap33os	Arhgap33os	3211	0
G3UWA8_MOUSE	C130060K24Rik	C130060K24Rik	4179	1
G3X942_MOUSE	Galnt9	Galnt9	8622	0
E9PY62_MOUSE	Cntnap3	Cntnap3	5567	0
E9PZS7_MOUSE	Olfr287	Olfr287	35824	0
E0CZ22_MOUSE	Mroh1	Mroh1	33894	0
A0A075B5W4_MOUSE	Ighv8-6	Ighv8-6	24807	0
A0A494BBH0_MOUSE	Gm8978	Gm8978	22875	0
A0A1L1SRD7_MOUSE	Olfr1192-ps1	Olfr1192-ps1	35351	0
A0A075B5X6_MOUSE	Ighv1-67	Ighv1-67	24701	0
A0A1D5RM95_MOUSE	Zfp853	Zfp853	45548	0
A0A0G2JGR3_MOUSE	Traj46	Traj46	43034	0
E9Q9H8_MOUSE	Tm4sf19	Tm4sf19	42458	0
A0A571BDE3_MOUSE	Spin2e	Spin2e	41353	0
A0A140LJ72_MOUSE	Muc16	Muc16	34121	0
B1AZR0_MOUSE	Klhl4	Klhl4	25717	0
J3QNN6_MOUSE	Ighv6-4	Ighv6-4	24787	0
A0A075B5P1_MOUSE	Igkv3-1	Igkv3-1	24905	0
F7AMQ8_MOUSE	Esp8	Esp8	7621	0
L7N205_MOUSE	Olfr203	Olfr203	35762	0
A2APL1_MOUSE	4930404H24Rik	4930404H24Rik	993	0
E9Q8M3_MOUSE	Olfr730	Olfr730	36290	0
G3XA12_MOUSE	4933406M09Rik	4933406M09Rik	1539	1
K7N6Y7_MOUSE	Vmn2r21	Vmn2r21	44636	0
L7N2E2_MOUSE	Gm8271	Gm8271	22459	0
L7N218_MOUSE	Gm8165	Gm8165	22395	0
A0A087WRJ1_MOUSE	2610044O15Rik8	2610044O15Rik8	772	0
G3UXD1_MOUSE	Speer4c	Speer4c	41317	0
A0A5F8MPL8_MOUSE	Bricd5	Bricd5	4081	0
E9PWS4_MOUSE	AU018091	AU018091	2201	0
E9Q9U2_MOUSE	Speer2	Speer2	41313	0
A0A2I3BRW3_MOUSE	Olfr105-ps	Olfr105-ps	35201	0
W4VSN9_MOUSE	Rhox2d	Rhox2d	38912	0
E9PYI4_MOUSE	Mroh8	Mroh8	33902	0
B1AQ85_MOUSE	Krtap4-2	Krtap4-2	25913	0
A0A087WR14_MOUSE	Gm21095	Gm21095	13579	0
A0A075B5W5_MOUSE	Ighv1-54	Ighv1-54	24684	0
