uniprot	unigene	gene	index	order
A0A1D5Q8E8_MACMU	NDUFS1	NDUFS1	10162	0
A0A5K1UN37_MACMU	CNP	CNP	3383	0
A0A1D5QA33_MACMU	ASAP3	ASAP3	1030	0
A0A1D5Q6H3_MACMU	EIF3H	EIF3H	4813	0
F6X2P4_MACMU	PDE4A	PDE4A	11451	0
F6UHQ9_MACMU	USO1	USO1	17043	0
F7DBD5_MACMU	TRIM65	TRIM65	16527	0
F7GPA5_MACMU	CD70	CD70	2772	0
F6YF90_MACMU	DUSP16	DUSP16	4598	0
F6WUF5_MACMU	ARHGAP36	ARHGAP36	885	0
F7DDU9_MACMU	DNAJA4	DNAJA4	4393	0
A0A5F7ZXU8_MACMU	CAV2	CAV2	2425	0
F7HDJ0_MACMU	SNX2	SNX2	14765	0
F6Z7J1_MACMU	SDC3	SDC3	13799	0
F6W6S0_MACMU	ABCB8	ABCB8	49	0
F6YUM9_MACMU	RENBP	RENBP	13062	0
F7HS16_MACMU	P4HA3	P4HA3	11159	0
A0A1D5QD58_MACMU	KAT7	KAT7	7814	0
F6WQ38_MACMU	ZFP37	ZFP37	17692	0
F6VID3_MACMU	ZNF135	ZNF135	17775	0
F7ECW3_MACMU	ROBO3	ROBO3	13350	0
F6X4T7_MACMU	OXA1L	OXA1L	11129	0
F7AUL3_MACMU	INS	INS	7579	0
F6ZIN0_MACMU	SDF2L1	SDF2L1	13807	0
F7GVV0_MACMU	NFKB2	NFKB2	10247	0
F7GLG5_MACMU	TM2D1	TM2D1	15911	0
F7HNK9_MACMU	HOMER1	HOMER1	7090	0
A0A1D5QZ91_MACMU	MAPK3	MAPK3	9086	0
F6PWE2_MACMU	CLIP4	CLIP4	3285	0
A0A5F8ATV8_MACMU	KANSL2	KANSL2	7806	0
A0A5F8A4K1_MACMU	ZFPM2	ZFPM2	17706	0
F6VXP6_MACMU	MAP1A	MAP1A	9034	0
F7DSD4_MACMU	HMX3	HMX3	7061	0
A0A1D5QRX6_MACMU	PDIA4	PDIA4	11482	0
A0A5F7ZDL5_MACMU	GPR18	GPR18	6501	0
F6TUJ8_MACMU	PTPRO	PTPRO	12637	0
F7DQL5_MACMU	ALPP	ALPP	548	0
A0A5F7ZVH3_MACMU	SOX8	SOX8	14838	0
A0A1D5RHY0_MACMU	TRIM62	TRIM62	16524	0
A0A5F8AFP1_MACMU	GAL	GAL	6021	0
A0A5F7ZTP4_MACMU	CTNS	CTNS	3800	0
A0A5F8ARL4_MACMU	RPS3A	RPS3A	13481	0
F7HEI4_MACMU	KIAA0825	KIAA0825	8011	0
A0A5F7ZQC9_MACMU	LIMD1	LIMD1	8592	0
F7HFR6_MACMU	XRCC2	XRCC2	17486	0
F6V301_MACMU	FBLN5	FBLN5	5526	0
A0A1D5QNU6_MACMU	ORAI1	ORAI1	11058	0
F7FPF3_MACMU	SYNJ2	SYNJ2	15370	0
A0A1D5RCE5_MACMU	PHGR1	PHGR1	11653	0
F7GNX7_MACMU	TMEM234	TMEM234	16105	0
F7GNW3_MACMU	REL	REL	13052	0
F7EP02_MACMU	MORN1	MORN1	9542	0
A0A5F8AAS0_MACMU	LRRC14	LRRC14	8743	0
F6ZP04_MACMU	HIGD1B	HIGD1B	6933	0
F6UAZ0_MACMU	PACRGL	PACRGL	11175	0
F7B364_MACMU	PDPK1	PDPK1	11499	0
F7CHN6_MACMU	EFCAB13	EFCAB13	4724	0
F7ER68_MACMU	BRCA2	BRCA2	1537	0
A0A1D5QAI3_MACMU	KIF25	KIF25	8100	0
F7AQN6_MACMU	DDX25	DDX25	4126	0
A0A1D5RFL0_MACMU	LRRD1	LRRD1	8806	0
A0A1D5QG06_MACMU	NOS1AP	NOS1AP	10418	0
F6TWT7_MACMU	SERPINB10	SERPINB10	13944	0
F7HSZ5_MACMU	LRIG3	LRIG3	8720	0
A0A5F7ZY94_MACMU	TMEM37	TMEM37	16138	0
F7CYG3_MACMU	CERS6	CERS6	3021	0
F7D424_MACMU	TEX9	TEX9	15723	0
F7BWM0_MACMU	ESYT3	ESYT3	5085	0
F7DM84_MACMU	SEC16A	SEC16A	13834	0
F7BHK8_MACMU	CATSPER3	CATSPER3	2419	0
A0A1D5R6A1_MACMU	ELMO3	ELMO3	4862	0
F7GR34_MACMU	EXD3	EXD3	5120	0
A0A5F7ZKZ2_MACMU	CLEC19A	CLEC19A	3253	0
A0A5F7ZI36_MACMU	RUNDC3B	RUNDC3B	13582	0
F7CCD0_MACMU	OR2J3	OR2J3	10872	0
F7HAH1_MACMU	RASSF6	RASSF6	12918	0
F6ZIG4_MACMU	ATP13A4	ATP13A4	1150	0
A0A5F8A987_MACMU	APH1A	APH1A	772	0
A0A5F8AD17_MACMU	SYS1	SYS1	15382	0
F7H5W4_MACMU	SNCB	SNCB	14717	0
F7FAS0_MACMU	KLF14	KLF14	8144	0
A0A1D5R1K4_MACMU	EPAS1	EPAS1	4960	0
A0A1D5RGZ3_MACMU	CASP7	CASP7	2406	0
F7H2J6_MACMU	PSAT1	PSAT1	12475	0
F6RHU4_MACMU	ZFYVE28	ZFYVE28	17717	0
A0A5K1UMX5_MACMU	EPC2	EPC2	4971	0
F7H4W7_MACMU	OLFM4	OLFM4	10740	0
F6UKT3_MACMU	GRIN2D	GRIN2D	6610	0
F6X6U1_MACMU	OR10P1	OR10P1	10797	0
A0A1D5R166_MACMU	STARD8	STARD8	15162	0
F7D8G7_MACMU	SOCS7	SOCS7	14793	0
F6ZLD8_MACMU	KIF20B	KIF20B	8094	0
A0A1D5RCX1_MACMU	AP1M1	AP1M1	731	0
F6V2R2_MACMU	EVI2A	EVI2A	5109	0
A0A1D5QII7_MACMU	ZFYVE19	ZFYVE19	17712	0
A0A1D5QMF9_MACMU	MYCBP2	MYCBP2	9881	0
F6U3D4_MACMU	ITPKC	ITPKC	7742	0
F7E7X9_MACMU	SETD1B	SETD1B	13979	0
A0A5F7ZZD0_MACMU	TGIF1	TGIF1	15765	0
A0A5F8AA53_MACMU	EMP2	EMP2	4908	0
A0A1D5Q7Y4_MACMU	RAPGEF2	RAPGEF2	12871	0
F7H0I4_MACMU	PSMD6	PSMD6	12524	0
A0A1D5RJK6_MACMU	FUBP1	FUBP1	5924	0
A0A5F7Z869_MACMU	LRRC37A	LRRC37A	8767	0
F7AQE3_MACMU	TOX2	TOX2	16359	0
A0A5F8AKT6_MACMU	CDC42BPB	CDC42BPB	2811	0
A0A1D5QEM8_MACMU	ZNF853	ZNF853	18212	0
F6TZA2_MACMU	TYR	TYR	16808	0
A0A5F8AC74_MACMU	NANOS3	NANOS3	10020	0
